ENT,Entidad,MUN,Municipio,Alf,Asi,EBC,Der,Pis,San,Agu,Dre,Ele,Lav,Ref,Ing
31,Yucatán,59,Progreso,0.964934709,0.967088056,0.609243601,0.883153031,0.99256343,0.985189351,0.978315211,0.987626547,0.992001,0.825896763,0.909011374,9164.66851
31,Yucatán,96,Tizimín,0.87587026,0.949312956,0.450650849,0.899832819,0.943831297,0.836716594,0.955557745,0.831543161,0.965608987,0.570161608,0.647516752,6222.090185
31,Yucatán,101,Umán,0.938533928,0.973831562,0.616331902,0.872975719,0.993349332,0.858347617,0.983064793,0.841206719,0.988138498,0.737744258,0.832841961,11905.49256
32,Zacatecas,5,Calera,0.962929536,0.945875411,0.620018101,0.863676275,0.994592739,0.980345035,0.996051841,0.988155523,0.996738477,0.856922153,0.892541413,25228.17113
32,Zacatecas,7,Concepción del Oro,0.952462527,0.978533095,0.619600258,0.906123139,0.989672978,0.92885829,0.935169248,0.977051061,0.993115318,0.849110729,0.911072863,7750.070298
32,Zacatecas,10,Fresnillo,0.964054792,0.966123362,0.622446011,0.856811832,0.986897396,0.92323727,0.967954869,0.935446514,0.993796116,0.817655428,0.913608841,7819.525679
32,Zacatecas,17,Guadalupe,0.979910122,0.973951715,0.779752235,0.889554379,0.994293274,0.981240867,0.98161605,0.986690889,0.997117017,0.865724103,0.926306228,14681.35555
32,Zacatecas,38,Pinos,0.912457642,0.979762977,0.577189704,0.903814035,0.986483633,0.681784583,0.858289335,0.7625132,0.979197466,0.624287223,0.733579725,4956.686391
32,Zacatecas,42,Sombrerete,0.960421621,0.965770171,0.574749536,0.836557693,0.981915209,0.875718945,0.974681293,0.893447969,0.993418322,0.752564483,0.91544619,7763.700959
32,Zacatecas,56,Zacatecas,0.987568442,0.978253873,0.761817499,0.857025202,0.997513737,0.986623903,0.983167997,0.990477611,0.99763805,0.881952214,0.945103304,16894.74327
